"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-09","Sep-1958","IDX","Index","0","Units",,,100.3547,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-10","Oct-1958","IDX","Index","0","Units",,,100.9199,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-11","Nov-1958","IDX","Index","0","Units",,,101.4447,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-12","Dec-1958","IDX","Index","0","Units",,,101.9166,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-01","Jan-1959","IDX","Index","0","Units",,,102.3391,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-02","Feb-1959","IDX","Index","0","Units",,,102.6738,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-03","Mar-1959","IDX","Index","0","Units",,,102.8859,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-04","Apr-1959","IDX","Index","0","Units",,,102.9541,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-05","May-1959","IDX","Index","0","Units",,,102.8684,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-06","Jun-1959","IDX","Index","0","Units",,,102.6363,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-07","Jul-1959","IDX","Index","0","Units",,,102.2984,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-08","Aug-1959","IDX","Index","0","Units",,,101.9239,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-09","Sep-1959","IDX","Index","0","Units",,,101.5783,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-10","Oct-1959","IDX","Index","0","Units",,,101.3022,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-11","Nov-1959","IDX","Index","0","Units",,,101.102,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-12","Dec-1959","IDX","Index","0","Units",,,100.9467,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-01","Jan-1960","IDX","Index","0","Units",,,100.7452,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-02","Feb-1960","IDX","Index","0","Units",,,100.4634,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-03","Mar-1960","IDX","Index","0","Units",,,100.1441,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-04","Apr-1960","IDX","Index","0","Units",,,99.84037,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-05","May-1960","IDX","Index","0","Units",,,99.57507,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-06","Jun-1960","IDX","Index","0","Units",,,99.34336,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-07","Jul-1960","IDX","Index","0","Units",,,99.12529,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-08","Aug-1960","IDX","Index","0","Units",,,98.91642,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-09","Sep-1960","IDX","Index","0","Units",,,98.70821,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-10","Oct-1960","IDX","Index","0","Units",,,98.52707,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-11","Nov-1960","IDX","Index","0","Units",,,98.4043,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-12","Dec-1960","IDX","Index","0","Units",,,98.37715,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-01","Jan-1961","IDX","Index","0","Units",,,98.46747,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-02","Feb-1961","IDX","Index","0","Units",,,98.69486,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-03","Mar-1961","IDX","Index","0","Units",,,99.04469,,
