Date,Open,High,Low,Close,Adj Close,Volume
2006-07-01,36.924999,37.224998,34.055000,36.900002,31.322151,5047800
2006-08-01,36.500000,38.650002,36.005001,38.470001,32.654808,3801400
2006-09-01,38.625000,40.730000,37.639999,40.275002,34.186966,2454000
2006-10-01,40.235001,43.360001,39.689999,42.500000,36.075638,4028600
2006-11-01,42.855000,44.494999,41.599998,43.924999,37.285225,4827800
2006-12-01,43.950001,45.849998,42.605000,43.150002,36.627377,3562400
2007-01-01,43.525002,44.285000,42.205002,44.064999,39.031036,6934800
2007-02-01,44.365002,45.560001,40.715000,42.049999,37.246231,5707400
2007-03-01,40.685001,43.950001,39.520000,42.724998,37.844116,12742800
2007-04-01,42.755001,47.244999,42.349998,46.384998,41.203739,7949200
2007-05-01,46.450001,49.549999,45.860001,49.244999,43.744282,13250000
2007-06-01,49.625000,49.880001,45.849998,47.250000,41.972122,25198400
2007-07-01,47.560001,50.380001,43.645000,43.924999,39.131905,36156800
2007-08-01,43.790001,46.785000,38.840000,44.410000,39.563992,84773000
2007-09-01,44.650002,50.000000,42.615002,47.740002,42.530628,34296000
2007-10-01,47.779999,50.740002,45.044998,48.744999,43.538013,50282000
2007-11-01,47.889999,47.900002,39.924999,44.599998,39.835781,94689400
2007-12-01,44.349998,46.990002,40.450001,41.400002,36.977604,75807800
2008-01-01,41.570000,41.770000,30.575001,36.075001,33.660538,316275800
2008-02-01,36.500000,37.310001,33.169998,34.119999,31.836374,276186600
2008-03-01,33.730000,35.115002,30.094999,33.000000,30.791338,424591000
2008-04-01,33.924999,37.330002,33.145000,36.084999,33.745396,310526400
2008-05-01,36.145000,39.139999,35.560001,36.935001,34.540291,306540000
2008-06-01,36.720001,37.235001,30.344999,30.820000,28.821764,370586400
2008-07-01,30.110001,31.514999,27.000000,30.035000,28.180258,532149400
2008-08-01,30.139999,32.165001,29.025000,30.709999,28.813576,331614000
2008-09-01,31.400000,31.674999,22.430000,24.620001,23.099644,991330600
2008-10-01,24.110001,24.815001,12.050000,16.020000,15.069248,3696551400
2008-11-01,16.010000,17.350000,9.000000,13.300000,12.510674,3955373800
2008-12-01,12.560000,13.790000,10.935000,13.135000,12.355469,3518623200
2009-01-01,13.280000,14.465000,10.425000,10.970000,10.343711,3012962600
2009-02-01,10.655000,12.315000,8.620000,8.655000,8.160878,3534216800
2009-03-01,8.320000,10.860000,7.080000,9.865000,9.301799,4826826400
2009-04-01,9.630000,12.270000,9.580000,11.870000,11.249424,2720549000
2009-05-01,11.855000,13.420000,11.650000,13.200000,12.509888,2116014600
2009-06-01,13.490000,14.185000,12.235000,13.070000,12.386686,1889631200
2009-07-01,13.150000,15.295000,11.660000,14.960000,14.227312,1554524800
2009-08-01,15.315000,16.670000,14.750000,16.065001,15.278195,1377505600
2009-09-01,15.920000,18.000000,15.165000,17.160000,16.319561,1077113400
2009-10-01,17.070000,18.670000,15.980000,16.424999,15.661053,1278709000
2009-11-01,16.584999,19.055000,16.250000,18.450001,17.591867,1022640400
2009-12-01,18.780001,19.660000,18.129999,19.120001,18.230701,668301400
2010-01-01,19.430000,20.385000,17.635000,17.684999,16.866394,810368000
2010-02-01,17.955000,19.049999,16.745001,18.764999,17.896400,960303400
2010-03-01,18.910000,21.405001,18.900000,21.004999,20.032722,558762400
2010-04-01,21.270000,22.850000,21.040001,21.594999,20.675711,693819000
2010-05-01,21.809999,22.275000,16.520000,18.120001,17.348646,1444042200
2010-06-01,17.790001,19.514999,16.045000,16.105000,15.419421,1084702800
