Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,35.435001,36.209999,35.275002,36.165001,34.105091,701400
2010-02-01,35.974998,36.465000,33.435001,35.840000,33.798595,2337600
2010-03-01,35.705002,36.029999,33.424999,34.345001,32.388763,1576200
2010-04-01,34.080002,36.669998,32.950001,36.650002,34.589241,1482800
2010-05-01,36.345001,43.150002,36.305000,40.330002,38.062325,2757000
2010-06-01,41.299999,45.095001,39.435001,45.044998,42.512207,1482800
2010-07-01,45.189999,46.139999,42.084999,44.200001,41.714722,898800
2010-08-01,43.435001,52.615002,42.855000,51.845001,48.929859,2447800
2010-09-01,50.660000,50.724998,44.939999,49.090000,46.329765,3068400
2010-10-01,48.330002,50.000000,43.715000,44.755001,42.252697,1911600
2010-11-01,45.349998,46.674999,39.369999,43.090000,40.680798,2203000
2010-12-01,41.849998,42.240002,36.634998,39.529999,37.319836,2212000
2011-01-01,38.799999,39.700001,36.500000,37.150002,35.282642,1980800
2011-02-01,36.840000,38.395000,34.930000,38.345001,36.417576,2895000
2011-03-01,37.830002,40.590000,36.305000,38.165001,36.246635,1613600
2011-04-01,37.965000,40.189999,36.490002,39.945000,38.020588,1134000
2011-05-01,39.764999,42.740002,39.735001,42.709999,40.652382,1289200
2011-06-01,43.240002,43.930000,39.660000,40.465000,38.515541,1738200
2011-07-01,40.715000,44.549999,40.099998,43.994999,42.099026,961400
2011-08-01,43.935001,57.509998,43.935001,52.625000,50.357117,1773600
2011-09-01,53.279999,70.180000,52.000000,66.714996,63.839912,1591200
2011-10-01,68.355003,71.769997,55.305000,61.310001,58.699394,1781800
2011-11-01,64.635002,69.190002,60.875000,63.410000,60.709969,2275600
2011-12-01,62.139999,70.559998,61.750000,67.730003,64.846016,2052000
2012-01-01,65.860001,68.040001,61.500000,67.169998,64.309875,610200
2012-02-01,66.184998,66.430000,60.555000,63.685001,60.973267,329800
2012-03-01,62.584999,64.500000,55.599998,58.075001,55.602146,448200
2012-04-01,59.294998,64.995003,56.720001,63.689999,61.028343,597400
2012-05-01,64.224998,77.110001,62.770000,75.489998,72.335213,492500
2012-06-01,77.410004,79.290001,70.580002,72.870003,69.824707,560100
2012-07-01,73.309998,81.349998,73.180000,78.220001,74.951126,522200
2012-08-01,77.180000,79.839996,67.900002,75.860001,72.689758,428900
2012-09-01,76.040001,76.040001,65.330002,72.300003,69.278534,310000
2012-10-01,72.500000,72.940002,67.279999,71.320000,68.339478,344000
2012-11-01,70.760002,75.839996,69.760002,73.169998,70.112167,423700
2012-12-01,72.160004,74.720001,67.930000,69.529999,66.624275,300100
2013-01-01,67.750000,68.669998,63.730000,64.800003,62.091972,360400
2013-02-01,65.699997,67.660004,63.189999,66.449997,63.672997,366700
2013-03-01,67.239998,67.379997,62.389999,65.709999,62.963928,435900
2013-04-01,66.500000,73.360001,66.050003,72.040001,69.059959,564900
2013-05-01,73.000000,73.669998,61.200001,62.590000,60.000862,650000
2013-06-01,62.099998,65.160004,55.500000,58.189999,55.782871,581400
2013-07-01,57.560001,58.939999,53.529999,55.340000,53.108013,323800
2013-08-01,54.299999,55.549999,50.000000,54.040001,51.860447,298800
2013-09-01,52.599998,55.389999,49.860001,54.480000,52.282692,357400
2013-10-01,54.349998,57.139999,52.619999,56.060001,53.798977,404600
2013-11-01,55.560001,55.560001,50.770000,53.070000,50.929565,217600
